WorkoutType;WorkoutDay;Distance in km;PowerAverage;PowerMax;time;HeartRateAverage;HeartRateMax;TSS;HRZone1Minutes;HRZone2Minutes;HRZone3Minutes;HRZone4Minutes;HRZone5Minutes;PWRZone1Minutes;PWRZone2Minutes;PWRZone3Minutes;PWRZone4Minutes;PWRZone5Minutes;PWRZone6Minutes;time_standardized
MTB;2023-08-22;30,86316992;145;1211;01:47:42;123;163;121,92;25;70;9;3;0;57;30;13;3;1;3;01:47:00
Run;2023-08-22;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-08-23;4,586680176;;;00:32:04;128;148;31,97;1;25;6;0;0;;;;;;;00:32:00
Bike;2023-08-23;25,10040039;;;01:40:45;129;159;53,58;1;59;8;1;0;;;;;;;01:40:00
Strength;2023-08-23;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
Run;2023-08-24;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-08-24;40,49333984;154;471;02:27:23;119;145;127,08;42;101;5;0;0;59;28;39;18;2;1;02:27:00
Day Off;2023-08-25;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-08-26;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-08-26;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Strength;2023-08-26;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-08-26;61,00839063;136;244;00:30:04;111;125;12,47;12;18;0;0;0;25;5;0;0;0;0;00:30:00
MTB;2023-08-26;20,69196094;155;781;01:22:40;128;157;71,09;16;43;23;0;0;35;14;20;10;2;2;01:22:00
MTB;2023-08-27;80;149;289;02:41:06;125;145;100,93;26;122;13;0;0;71;79;11;0;0;0;02:41:00
MTB;2023-08-28;124,7060469;130;562;01:11:30;125;179;97,94;14;41;3;5;9;58;1;0;0;0;12;01:11:00
Strength;2023-08-28;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
Day Off;2023-08-29;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-08-30;27,51141016;183;991;02:01:29;137;175;194,83;15;54;18;10;25;57;10;11;9;7;27;02:01:00
Bike;2023-08-31;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Strength;2023-08-31;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
MTB;2023-08-31;32,53841016;128;785;02:39:34;117;148;110,16;49;106;4;0;0;84;31;28;13;3;1;02:39:00
MTB;2023-09-01;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-09-01;90,73439063;;;03:50:33;126;171;188,85;42;141;45;1;1;;;;;;;03:50:00
Day Off;2023-09-02;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-03;29,72340039;218;1055;01:37:57;146;178;178,46;10;27;18;12;31;36;9;11;14;6;22;01:37:00
Bike;2023-09-04;0;;;01:10:00;;;;;;;;;;;;;;;01:10:00
Strength;2023-09-04;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
MTB;2023-09-05;20,98975;167;754;01:07:39;132;178;120,54;8;39;9;4;7;34;12;6;4;1;10;01:07:00
MTB;2023-09-07;59,79237891;16;720;03:12:19;140;168;8,07;12;65;83;30;2;189;2;1;0;0;0;03:12:00
MTB;2023-09-08;10,59034961;12;735;00:50:16;122;161;1,26;15;29;5;1;0;50;0;0;0;0;0;00:50:00
MTB;2023-09-09;16,991;31;659;01:18:60;140;176;12,27;9;26;19;17;8;75;1;1;0;0;1;01:18:00
Bike;2023-09-10;0;;;00:25:00;;;;;;;;;;;;;;;00:25:00
MTB;2023-09-10;0,549440002;0;32;00:28:42;131;168;24,9;4;18;4;2;0;29;0;0;0;0;0;00:28:00
MTB;2023-09-10;16,23120996;;;01:04:46;162;177;110,2;0;1;7;26;31;;;;;;;01:04:00
Bike;2023-09-11;29,77471094;;;01:12:11;126;153;58,82;15;42;15;0;0;;;;;;;01:12:00
MTB;2023-09-12;45,33812109;166;1294;02:26:14;124;161;206,44;39;88;17;4;0;62;42;27;10;2;4;02:26:00
Bike;2023-09-13;64,63578906;;;02:32:02;132;162;147,73;31;53;23;46;0;;;;;;;02:32:00
Day Off;2023-09-15;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-16;34,42387109;190;942;02:01:24;134;176;164,7;10;69;27;9;6;47;19;19;15;8;13;02:01:00
MTB;2023-09-17;12,99913965;171;536;00:40:07;119;142;34,01;11;29;0;0;0;14;9;12;4;0;0;00:40:00
MTB;2023-09-17;11,36975977;208;1379;00:31:38;133;168;51,26;5;13;9;3;0;10;4;5;5;3;4;00:31:00
MTB;2023-09-17;11,86134961;277;1284;00:42:55;161;175;110,44;0;2;6;16;19;16;2;2;2;3;17;00:42:00
Bike;2023-09-18;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-18;61,61167188;173;573;03:15:19;120;154;220,13;64;84;47;0;0;76;28;25;39;23;3;03:15:00
Day Off;2023-09-19;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Day Off;2023-09-19;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-09-19;20,16146094;;;00:50:30;115;150;34,79;17;32;1;0;0;;;;;;;00:50:00
Run;2023-09-20;4,950060059;;;00:32:09;131;156;42,74;2;21;8;1;0;;;;;;;00:32:00
MTB;2023-09-20;85,6175;;;03:02:08;129;172;180,57;46;80;7;20;28;;;;;;;03:02:00
MTB;2023-09-21;47,43173828;193;879;02:35:02;128;162;260;45;51;13;46;0;64;17;11;10;12;41;02:35:00
Run;2023-09-21;3,41951001;;;00:25:17;123;147;30,5;3;19;3;0;0;;;;;;;00:25:00
Day Off;2023-09-22;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-22;0;;;01:00:00;;;;;;;;;;;;;;;01:00:00
MTB;2023-09-23;37,00523828;172;653;02:11:04;124;170;230,99;32;77;6;9;7;68;19;19;7;2;16;02:11:00
Bike;2023-09-23;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-23;15,28233984;118;940;01:23:20;114;144;60,97;31;52;0;0;0;47;11;14;8;2;1;01:23:00
Bike;2023-09-24;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-09-24;62,69494922;157;1352;03:32:20;115;140;181,19;67;146;0;0;0;90;44;40;25;10;3;03:32:00
MTB;2023-09-26;20,65686914;128;1134;02:30:55;;;122,65;;;;;;85;22;20;15;6;4;02:30:00
MTB;2023-09-27;30,6325293;179;1023;02:36:31;134;176;263,68;18;85;33;6;14;67;23;23;16;7;20;02:36:00
Bike;2023-09-28;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-09-28;0;;;00:40:60;;;;;;;;;;;;;;;00:40:00
MTB;2023-09-28;28,59858984;177;926;01:45:07;133;164;109,63;9;63;20;13;0;44;17;15;11;7;10;01:45:00
MTB;2023-09-29;11,54144043;172;742;00:49:55;139;160;52,73;3;18;24;5;0;23;7;5;5;3;6;00:49:00
MTB;2023-09-30;24,29826953;171;1072;01:31:50;139;171;122,79;5;40;22;22;3;47;13;8;6;5;13;01:31:00
MTB;2023-10-01;5,19752002;215;633;00:40:05;141;167;53,04;2;14;15;8;0;10;6;9;6;5;3;00:40:00
MTB;2023-10-01;25,42617969;271;1246;01:19:57;162;175;183,04;0;0;6;48;26;30;5;4;5;5;32;01:19:00
Bike;2023-10-02;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-10-02;57,20164844;177;1196;02:22:22;128;150;141,65;21;97;25;0;0;50;21;36;25;7;3;02:22:00
MTB;2023-10-04;50,22710938;177;1491;02:19:43;124;160;137,6;17;112;10;0;0;49;37;28;15;6;5;02:19:00
MTB;2023-10-05;34,95360938;186;1284;02:06:24;136;175;144,76;11;63;34;14;4;49;23;21;14;7;12;02:06:00
MTB;2023-10-06;19,34332031;193;1230;01:21:40;137;166;95,44;6;38;30;7;0;31;13;12;9;6;11;01:21:00
MTB;2023-10-07;25,83664063;167;1152;01:50:04;135;175;119,49;11;51;29;16;3;54;15;14;9;6;13;01:50:00
MTB;2023-10-08;17,14125977;239;1174;01:20:09;164;177;176,72;0;1;4;37;39;37;3;3;4;4;30;01:20:00
MTB;2023-10-08;2,374399902;197;470;00:34:12;131;159;40,25;5;20;9;1;0;9;9;6;6;3;1;00:34:00
Run;2023-10-09;6,451450195;;;00:42:34;147;174;60;1;33669;23;7;2;;;;;;;00:42:00
Bike;2023-10-30;46,53114063;;;01:52:03;132;176;98,23;12;68;31;1;1;;;;;;;01:52:00
MTB;2023-10-31;21,21816992;157;443;01:22:52;121;142;71,52;17;65;0;0;0;32;15;27;7;1;0;01:22:00
Run;2023-10-31;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Run;2023-11-01;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-11-01;32,26582031;;;02:05:18;128;152;101,46;15;92;18;0;0;;;;;;;02:05:00
Bike;2023-11-02;80,88247656;;;03:04:24;129;154;151,8;22;126;36;0;0;;;;;;;03:04:00
Day Off;2023-11-03;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
Bike;2023-11-04;0;;;00:00:00;;;;;;;;;;;;;;;00:00:00
MTB;2023-11-04;32,04931055;;;01:53:02;130;163;94,94;11;73;25;3;0;;;;;;;01:53:00
Run;2023-11-06;3,968959961;;;00:25:58;132;160;30,12;2;14;8;1;0;;;;;;;00:25:00
MTB;2023-11-06;39,12855078;;;02:39:30;131;169;139,61;14;101;41;4;0;;;;;;;02:39:00
